Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_1427300,21143.329,20122.946,26520.907,14011.45295,2581.529,4258.589,26426.562,40510.317,36592.728,26118.564,20539.769,11860.99,31871.992,35933.215,4038.0008
PF3D7_1427400,21673.124,29142.439,38663.63,5535.75655,4687.464,13039.47,14895.218,17748.838,15669.227,13364.94,11109.889,10480.566,12741.548,7324.226,17329.4675
PF3D7_1427500,123075.14,154723.205,140405.415,9039.035100000001,1798.765,5431.795,46033.224,63729.467,38355.521,22228.977,17660.576,6371.209,6482.987,11949.455,0.0
PF3D7_1427600,167100.21,100610.793,89071.966,10427.466049999999,2018.556,3440.175,32700.457,48045.489,31987.415,21133.844,17589.605,28254.288,10274.778,9588.389,723.9823
PF3D7_1427700,6014.929,28525.643,38884.553,5759.69265,1371.399,629.359,9432.973,26920.466,26013.844,16215.895,16197.12,47094.043,33237.551,88734.25,6326.8799
PF3D7_1427800,86665.996,145767.376,157727.629,8206.9024,24764.163,34896.566,35554.677,26908.723,17016.226,10292.045,9683.374,14035.564,9235.196,4698.231,732.8987
PF3D7_1427900,51704.887,142757.601,200260.86,43031.49635,30247.634,65601.748,269086.336,380444.377,185050.11,128926.837,80169.201,24691.926,20093.151,9273.074,43368.5548
PF3D7_1428000,8631.699,9946.959,19491.009,5476.73445,4168.274,5081.265,13500.247,18095.506,13512.253,11628.689,9618.632,31200.067,19039.103,15172.954,65178.076
PF3D7_1428100,6781.781,3442.317,3398.616,24562.1588,16936.822,26166.086,17644.572,13146.02,20623.078,26589.404,35173.115,7257.082,7079.874,7902.972,12169.0392
PF3D7_1428200,7145.806,6623.308,8469.156,34042.39015,56409.271,36881.744,12315.498,13392.74,16319.37,22666.009,45819.049,12398.936,18102.52,11774.196,25848.7259
PF3D7_1428300,294452.773,300809.192,243825.398,38537.788,215050.461,216341.248,187538.872,116888.764,92030.884,68062.417,46921.328,41796.119,34741.694,28463.728,19647.7811
PF3D7_1428400,10106.97,1383.537,2108.114,5900.5903,2175.621,725.322,520.668,2382.785,6890.593,10647.43,6323.083,29146.087,29126.906,16816.965,22327.4944
PF3D7_1428500,8940.485,4177.579,7603.124,2221.14765,5276.089,1236.656,1322.589,2383.892,4046.716,2769.796,2696.851,20458.089,17572.936,24049.685,30632.344
PF3D7_1428600,21543.911,36072.564,34032.535,10063.13035,1736.026,4736.913,27895.376,35205.004,28683.609,14892.637,15605.351,53181.98,46409.368,73534.198,40601.388
PF3D7_1428700,10531.451,13275.584,16691.273,6066.44895,8982.525,32719.945,26743.602,18743.998,18031.088,14701.412,10224.859,10390.66,10280.596,15750.311,5639.2214
PF3D7_1428800,35049.293,19439.216,24458.216,14435.81395,17482.621,32753.652,30630.092,30730.325,30718.072,22724.478,18263.38,59778.881,89146.583,89743.497,22122.7051
PF3D7_1428900,7495.234,16382.985,27440.463,13789.351749999998,3846.429,5963.013,24007.615,41098.888,44943.445,36536.696,22500.683,143892.28,172059.437,259948.044,125914.789
PF3D7_1429000,29041.222,18927.961,72904.154,11159.8318,21810.319,61442.921,56751.262,46551.037,24796.489,25841.036,14610.645,120032.551,89520.513,160791.945,0.0
PF3D7_1429100,83115.008,34445.49,47222.135,21444.312149999998,4277.458,14565.408,33014.877,69777.027,86832.207,71851.484,32957.392,69078.094,36457.645,26152.67,107720.3898
PF3D7_1429200,16917.927,7678.729,27079.456,5042.9869,608.079,392.591,963.418,2457.418,6173.268,8362.486,6654.004,68052.883,47057.421,18063.524,111103.2857
PF3D7_1429300,251.512,1878.216,6931.474,12752.2372,6332.662,8525.67,4489.087,10181.054,14545.711,11669.813,11272.991,501474.727,694574.667,810104.902,144514.047
PF3D7_1429400,10105.989,7924.095,8513.02,4687.54965,24410.811,30177.058,15150.631,12029.345,8613.781,6887.716,5604.061,3594.952,7274.034,6688.319,13217.6501
