Gene,Day2_R1,Day2_R2,Day2_R3,Day4_R1,Day4_R2,Day4_R3,Day5_R1,Day5_R2,Day5_R3,Day6_R1,Day6_R2,Day6_R3,S1,S2,S3,S4,S5
PF3D7_0202100,406219.5987,101639.6586,0,413616.7412,358244.8463,579068.7616,327155.0618,350954.0349,410766.9923,311911.7184,229775.8959,348184.635,1682155.2072,3204506.1234,1098784.1808,598496.658,1086743.0122
PF3D7_0202200,0,0,0,0,9355.9379,0,5802.899,11988.1655,6042.5795,7162.801,9218.9892,2897.1576,22632.5778,75161.5462,15252.0031,21571.9648,29188.7572
PF3D7_0202300,0,0,0,0,33005.9689,0,7012.7365,15988.7674,11781.8614,1513.9379,3933.3447,3102.5559,302.1251,1829.1183,76.1833,731.3218,385.1398
PF3D7_0202400,0,0,0,50100.2867,31558.9023,0,60581.9713,57738.2972,45468.5992,122974.013,59759.2988,58560.8901,0,83.1657,17.3194,55.4191,87.557
PF3D7_0202500,16844.2307,0,0,48463.2611,26349.597,0,12337.3594,9736.8581,6716.6026,5307.8533,3451.9208,5571.12,11617.5598,13791.125,6088.6832,16358.187,19746.2777
PF3D7_0202600,6362.5514,0,0,15690.8318,18247.1707,103868.5298,48598.9804,25394.968,26598.1508,29858.3535,34141.5081,37169.4979,6625.4531,16878.1494,3818.6539,9997.4163,7568.4255
PF3D7_0202700,0,0,0,4604.1563,23850.8037,96246.6724,46102.0662,31605.224,35733.4627,42054.3749,58527.8275,53956.6283,3029.7737,5502.8339,878.579,8433.9246,1351.7919
PF3D7_0202800,0,0,0,0,0,0,1893.1136,2134.3973,3490.8544,4098.607,6220.7707,2139.5213,734.0379,1904.5688,555.2806,1353.7575,133.6756
PF3D7_0203000,0,0,0,0,11430.5226,0,4893.2371,8628.7711,11927.2876,20663.622,17247.5225,16030.77,24842.8902,24552.6942,16236.4357,46882.9138,20709.5303
PF3D7_0203100,0,0,0,0,7246.3313,0,4626.6324,3807.908,6069.478,9104.9219,4629.1485,5298.0909,25627.6495,29727.558,21984.4628,39577.7528,22933.8769
PF3D7_0203200,0,0,0,0,8477.5401,0,34589.946,5370.2923,9096.9194,17187.301,16844.384,12655.8309,659.6038,1331.1188,388.0902,1419.2283,560.5617
PF3D7_0203300,0,0,0,0,0,0,0,2068.2653,2319.5616,7841.396,10593.9023,5656.7614,2438.7242,492.1488,102.4906,9182.6894,518.1351
PF3D7_0203400,26774.7316,0,0,11004.9618,66316.2986,69015.313,13073.8923,36482.0043,42877.6779,20004.0761,57131.5722,20353.1303,38924.868,74972.1122,55239.1303,46161.1048,60005.8547
PF3D7_0203600,0,0,0,0,0,0,2930.1423,1486.6194,2161.2437,3049.8956,3443.3138,1447.4235,1785.3574,2947.8725,81.8531,6155.0384,206.9017
PF3D7_0203700,0,0,0,119409.1195,18304.6901,149769.8562,50663.5743,35986.1147,32604.4063,37750.6322,18999.9274,24579.2048,2553.7654,7849.4013,1238.37,3962.5803,3005.0415
PF3D7_0203800,0,22310.6701,0,0,1056.7181,0,282.7283,4685.8164,3128.0641,2829.0434,3885.8111,4517.8333,4933.1427,11548.2285,1879.7186,10348.9776,3493.6771
PF3D7_0203900,0,0,0,5516.4289,32659.0039,0,54300.564,17917.8012,24859.5855,11914.6333,34206.07,29380.8384,8893.7363,24174.9623,6270.2017,15230.7725,8792.3174
PF3D7_0204000,0,0,0,0,5085.2938,0,4823.8985,5417.8024,1984.3024,1694.282,7211.9942,5696.1765,5035.7559,8188.0302,3156.3754,13814.7811,3851.6561
