Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3
PF3D7_1120400,45.7461,32.8386,62.0639,243.661,129.3828,148.3929,62.2677,47.6556,53.3428,37.5107,44.6372,35.7905,69.6753,75.7545,61.6327,67.0203,61.2604,65.2108,31.1077,24.0304,29.9765,403.8478,239.6177,288.9653
PF3D7_1120500,123.9304,102.8072,189.7179,163.4245,165.8032,146.2838,62.4941,60.9028,119.8351,168,162.2408,150.3303,49.5849,71.1031,58.379,133.5593,163.6634,192.2673,79.0166,97.0028,118.5843,257.9572,137.6078,211.168
PF3D7_1120600,61.0555,27.7758,119.1535,1.29,13.4296,8.0528,11.3443,17.0255,65.8685,88.885,61.7498,83.2493,1.7685,19.1409,12.9284,19.6999,53.421,95.0072,18.663,30.3694,104.5654,2.2,0.8804,3.6147
PF3D7_1120700,21.8233,37.3236,43.6354,1.5691,4.8066,4.7615,12.9475,25.4511,56.8995,17.7284,25.7173,30.3201,2.5056,41.4766,20.2069,9.0247,18.1286,34.6217,24.707,55.6776,67.0072,3.614,1.5898,2.7302
PF3D7_1120800,105.7581,70.2406,115.7774,1.7236,14.2556,24.8812,35.2744,37.853,87.0616,181.523,120.984,119.1488,1.0928,25.9091,18.491,104.8054,146.7747,137.7436,57.6638,51.324,61.6751,2.7584,2.2668,6.9804
PF3D7_1120900,199.4974,127.8269,253.8449,0.7423,32.7442,54.7369,77.6897,79.1142,149.2802,296.535,272.6062,236.5625,7.0598,65.0098,72.2851,181.5899,367.296,312.3776,134.4771,119.938,102.8044,11.201,1.562,15.9332
PF3D7_1121000,178.514,163.9355,129.2847,3.236,5.2194,9.6194,76.6462,107.2992,146.9438,64.244,102.0509,127.0245,7.8163,106.9561,49.5103,23.7854,36.6502,40.3031,146.4547,61.2873,81.2804,17.8971,4.2154,15.3522
PF3D7_1121100,115.1578,129.0002,151.2481,83.2879,40.1644,30.3781,77.1578,100.0307,179.5132,60.3064,78.5948,114.9618,21.1342,109.1503,48.0019,21.7549,36.6985,62.0937,140.4706,113.6067,237.9988,172.5786,98.8686,127.0751
PF3D7_1121200,61.8007,34.5161,64.0385,3.6444,6.0025,5.4291,19.5692,11.9844,54.7416,54.3849,57.2973,63.0918,5.0416,18.6221,17.8632,12.7075,31.6784,30.3659,47.3535,22.305,40.8353,5.4538,1.3944,2.6836
PF3D7_1121300,116.6098,116.6951,118.4127,0.9469,0.4102,1.33,37.2864,70.6443,112.1548,28.5421,75.3768,132.6866,5.6436,44.7442,23.7035,0.3543,2.3766,8.5728,116.9769,60.5611,161.196,7.1874,1.6439,4.1417
PF3D7_1121400,18.9175,20.4978,30.5803,0.2909,0.2291,1.1348,9.7953,24.9871,47.7822,1.69,5.178,5.8169,3.5039,20.15,15.0417,0.5442,0,1.788,19.1967,5.1212,17.9243,1.5959,0.7651,1.7669
PF3D7_1121500,29.9944,30.1963,25.542,0.9777,2.0023,3.2041,13.9807,13.3879,25.4764,31.2445,41.1752,40.1256,0.4959,16.1021,11.6181,3.2925,32.2502,36.7165,29.5489,5.063,22.8042,3.934,2.263,3.0092
PF3D7_1121600,846.0361,1204.4469,1175.0255,1247.455,2683.2472,2590.8455,3053.7019,2083.5839,1089.0058,2066.5552,1879.5466,1266.9592,6013.2878,2361.9363,4165.3131,3029.7375,2376.3972,1951.4316,930.0757,1813.3117,787.4549,1160.946,1208.1497,1113.0336
PF3D7_1121700,56.511,54.0618,82.0806,117.8395,124.7147,124.8557,93.9615,61.829,74.6808,85.7777,88.3618,72.1537,98.0077,63.4053,115.6429,107.9987,98.5567,97.0848,44.6887,67.1882,69.8576,116.5193,106.4284,128.6609
PF3D7_1121800,6.1726,5.7986,17.5063,0.6474,0.51,0.1943,9.547,17.1133,24.7321,2.315,4.0023,3.1612,3.7259,17.4458,14.3021,0.4659,1.3095,3.8408,6.1658,2.9917,17.1602,3.0059,0.8908,3.1867
